section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,5,5,674.0,521478.62195726304,647541.1254700439,417118.28148649796,773.7071542392626,960.7435095994716,618.869853837534,-0.24174050134525382,0.20012390935427027,0.3558427950290943
BUCKET,5,6,589.0,465543.83526177617,578980.4403819847,374977.513302192,790.3970038400274,982.9888631273085,636.634148221039,-0.24366471324106986,0.19453876326953956,0.35234856456498076
BUCKET,5,7,164.0,178396.11480111282,223202.44518131527,140836.78408411363,1087.7811878116636,1360.9905193982638,858.7608785616685,-0.2511620302390294,0.21053895012720814,0.3690177364781694
BUCKET,6,1,2355.0,2701553.374536612,3006611.665651862,2536602.49726684,1147.1564223085402,1276.6928516568416,1077.113586949826,-0.11291958692749327,0.06105778950159191,0.15632519947770485
BUCKET,6,2,945.0,1003665.4984507564,1170112.5144229138,896172.2675742172,1062.079892540483,1238.2143009766282,948.3304418774785,-0.16583913288748353,0.10710065359670551,0.2341144492278171
BUCKET,6,3,885.0,1064458.728632323,1288953.2218143716,911370.996211448,1202.7782244433029,1456.4443184343183,1029.7977358321446,-0.2109001383928637,0.14381744289660792,0.29293710525152095
BUCKET,6,4,839.0,987961.218977075,1170165.1141830054,855060.4530775968,1177.546148959565,1394.714081266991,1019.1423755394479,-0.1844241370066959,0.13452022543666464,0.26928222118928125
BUCKET,6,5,797.0,885968.9462156007,1072752.9271642151,754380.687596958,1111.6297944988717,1345.9886162662674,946.525329481754,-0.21082452353037717,0.14852468495732207,0.29678058339944413
BUCKET,6,6,697.0,801358.469284059,975463.4760080158,683207.7228118052,1149.7252070072582,1399.5171822209695,980.2119409064637,-0.21726232815571755,0.14743807047776103,0.29960706923875535
BUCKET,6,7,208.0,355333.0178171948,432165.4036977723,298831.81212834077,1708.3318164288212,2077.7182870085207,1436.6914044631767,-0.21622641867777337,0.1590091628296747,0.30852444556778114
BUCKET,7,1,2701.0,4238287.822362172,4679591.2344576875,4083400.493968866,1569.1550619630405,1732.5402571113245,1511.810623461261,-0.10412303991416016,0.03654478763242219,0.12740231157346238
BUCKET,7,2,1197.0,1742590.7838226836,1973979.8555899197,1607411.3403853946,1455.7984827257173,1649.105977936441,1342.8666168633206,-0.1327845148243254,0.077573831270213,0.18570023101627697
BUCKET,7,3,1130.0,1904673.3226389103,2212552.3035704056,1703475.2366496567,1685.5516129547877,1958.010888115403,1507.5002094244749,-0.16164398234177568,0.10563390771415604,0.23008589044392258
BUCKET,7,4,1035.0,1722337.6965114055,1963962.498408608,1550086.6767904689,1664.094392764643,1897.548307641167,1497.6682867540762,-0.14028886575879596,0.10001001549802402,0.21073509395087797
BUCKET,7,5,1002.0,1513311.501050951,1765989.4214040774,1343130.0951634725,1510.290919212526,1762.464492419239,1340.4491967699325,-0.1669701975949096,0.11245629585798589,0.23944612641246976
BUCKET,7,6,882.0,1377130.3308485693,1610297.506699406,1218884.0917935888,1561.3722571979245,1825.7341345798254,1381.9547526004408,-0.16931380467610668,0.11491013995565058,0.24306900636522089
BUCKET,7,7,264.0,605125.2757995358,705110.0374886512,532749.1869097988,2292.141196210363,2670.871354123679,2017.9893443552983,-0.1652298551849587,0.11960513266299855,0.24444532259495255
BUCKET,8,1,3169.0,6795996.2972733155,7324531.5900135785,6654564.546989324,2144.5239183569943,2311.306907546096,2099.8941454683886,-0.0777715686737972,0.020811039926660557,0.09146892668709383
