date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-06,193,0.5287671232876713,122,0.18068343147918126,-0.7310628212733109,1.179327345717668,0.004689324746945746
2023-02-07,1,0.0027397260273972,130,0.5076223739597896,-0.9360787546160453,5.0,0.32870302734065987
2023-02-07,2,0.0054794520547945,155,0.47160684203384556,-0.9372907815405014,5.0,0.33168085765625305
2023-02-07,3,0.0082191780821917,181,0.3752146017627055,-0.8617879971554624,5.0,0.1799786919097992
2023-02-07,6,0.0164383561643835,107,0.17251609330983173,-0.49028351333694764,5.0,0.03226527186678519
2023-02-07,7,0.0191780821917808,113,0.19115605151150364,-0.38368021656483803,5.0,0.01817960489785095
2023-02-07,8,0.021917808219178,111,0.18082605366653393,-0.39421582438545044,4.771166155083253,0.009133443392888137
2023-02-07,9,0.0246575342465753,128,0.18440517551840074,-0.4639578366179727,5.0,0.015170073802545717
2023-02-07,10,0.0273972602739726,459,0.18350763009665985,-0.2592379706479743,5.0,0.046595642666712775
2023-02-07,14,0.0383561643835616,106,0.15847451266977164,-0.37359911615315156,3.8018235731507946,0.007657731642520139
2023-02-07,15,0.0410958904109589,107,0.1612370597066126,-0.43906821124021517,3.5519842957995906,0.0062878006648345
2023-02-07,16,0.0438356164383561,107,0.15741577802353507,-0.4829701636854426,4.19665029762546,0.013706284837792496
2023-02-07,17,0.0465753424657534,166,0.15684699953517056,-0.5017951406255189,4.110798373958735,0.011689963287696416
2023-02-07,20,0.0547945205479452,111,0.15404675790234273,-0.4569241801310515,3.2158834478928173,0.006304420031521939
2023-02-07,21,0.0575342465753424,202,0.1528186054705254,-0.5192978231719999,3.274911262958822,0.007474766039680978
2023-02-07,22,0.0602739726027397,93,0.1560538902222019,-0.4865299122066431,3.0698911793254147,0.005990437357296572
2023-02-07,23,0.0630136986301369,93,0.15546012131813175,-0.5149062077997635,3.335493784225077,0.009715996403109472
2023-02-07,24,0.0657534246575342,156,0.1568578201595744,-0.5218770651445771,3.2122585165010533,0.007098086781030155
2023-02-07,27,0.073972602739726,113,0.15249250897006333,-0.4969498864609307,2.8591530703092034,0.0057758492131066265
2023-02-07,28,0.0767123287671232,56,0.1533619694124125,-0.549162570522622,2.989446436190781,0.007252618877390999
2023-02-07,29,0.0794520547945205,49,0.15516615413291138,-0.5583089659151074,2.804132067947003,0.004741190836331957
2023-02-07,31,0.084931506849315,137,0.15914513298864294,-0.5296145432060361,2.848786597334382,0.006846314036131721
2023-02-07,34,0.0931506849315068,55,0.15605273425544552,-0.570788534654235,2.6352926396494047,0.005191646819164047
2023-02-07,38,0.1041095890410958,632,0.15690457682613268,-0.5305128672849412,2.8306082284642957,0.013187853760719072
2023-02-07,45,0.1232876712328767,89,0.16929149846844485,-0.6002401257779068,2.436747563642969,0.007039871971944062
2023-02-07,52,0.1424657534246575,352,0.16583329129734625,-0.6242140685738959,2.3770719149328623,0.008815398767108022
2023-02-07,73,0.2,572,0.15850765650046297,-0.6655575826727783,2.362728190239883,0.018891375793167582
2023-02-07,80,0.2191780821917808,291,0.14390315594078917,-0.5126214124143308,2.5842460228665356,0.024035841760410508
2023-02-07,101,0.2767123287671232,519,0.16702274681942492,-0.6821093055488552,1.8514786228569804,0.010579742587490075
2023-02-07,113,0.3095890410958904,161,0.16332001178411376,-0.6382539756529982,1.7737440272517806,0.009275141373316913
2023-02-07,129,0.3534246575342465,480,0.16854296506207567,-0.706025654272727,1.6856237754919579,0.012418542751636974
2023-02-07,143,0.3917808219178082,322,0.157192481613294,-0.5548187882100003,1.8087834392762498,0.016123487874372018
2023-02-07,164,0.4493150684931506,208,0.1434503754935931,-0.592241288385075,2.007190338549493,0.03775519452534444
2023-02-07,174,0.4767123287671233,127,0.16403404255589898,-0.6162482915096982,1.629467032958473,0.012439876774407329
2023-02-07,192,0.5260273972602739,127,0.1425210302986683,-0.6475954359479832,1.7881954528342818,0.03568697610654969
2023-02-08,1,0.0027397260273972,153,0.5602773592411947,-0.8862745670245262,5.0,0.4029560070582361
2023-02-08,2,0.0054794520547945,197,0.487909394171257,-0.9127799013255878,5.0,0.32011311722458075
2023-02-08,5,0.0136986301369863,153,0.2600287109744922,-0.8941372047037601,5.0,0.1994254824310742
2023-02-08,6,0.0164383561643835,139,0.2697281910136125,-0.8060294504859294,5.0,0.1674769520803712
2023-02-08,7,0.0191780821917808,128,0.19187560725392377,-0.2120725865848448,3.753433535879165,0.013926063157149096
2023-02-08,8,0.021917808219178,148,0.2565498891629908,-0.7916919847068457,5.0,0.15701913484649635
2023-02-08,9,0.0246575342465753,556,0.21769455317908523,-0.3334713129848556,5.0,0.06864823539877765
2023-02-08,13,0.0356164383561643,116,0.16686451109177627,-0.29838684102061996,3.485491521574472,0.011298774400514912
2023-02-08,14,0.0383561643835616,117,0.16787426667130015,-0.39098475541855476,3.521938185193767,0.010022534065375472
2023-02-08,15,0.0410958904109589,122,0.1785856862006841,-0.5924852368133968,5.0,0.06433546218386106
2023-02-08,16,0.0438356164383561,190,0.14856778321881192,-0.43475755412507067,4.631067811591138,0.0247072635997081
2023-02-08,19,0.0520547945205479,120,0.1627831780456947,-0.4242818655160678,3.0316547126484856,0.007430646765634058
2023-02-08,20,0.0547945205479452,273,0.16061553546345084,-0.4701026892897013,2.896087232686895,0.010547879956014137
2023-02-08,21,0.0575342465753424,100,0.1692957315483847,-0.4818292122984951,2.464733543458697,0.009577013041015712
2023-02-08,22,0.0602739726027397,98,0.16868582432299833,-0.4206552383677909,2.608521397098823,0.01163406356698775
2023-02-08,23,0.0630136986301369,169,0.1658358386398834,-0.5217789805392159,2.892787668248968,0.008836664891545392
2023-02-08,26,0.0712328767123287,119,0.16340091041341545,-0.477612082320723,2.4720284387042653,0.005788995492276355
2023-02-08,27,0.073972602739726,60,0.16281306634306458,-0.4860528306190289,2.620971303323669,0.007368151127825491
2023-02-08,28,0.0767123287671232,54,0.16516954269473408,-0.5356721877424628,2.5985434260035896,0.005803116861556588
